1-2863 ㄔㄨㄛˋ
1-454A ㄖˋ
1-454A ㄇㄧˋ
1-454B ㄩㄝ
1-454C ㄩㄝˋ
1-454D ㄇㄨˋ
1-454E ㄑㄧㄢˋ
1-454F ㄓˇ
1-4550 ㄜˋ
1-4550 ㄓㄣ
1-4550 ㄉㄞˇ
1-4550 ㄐㄧㄥ
1-4551 ㄨˊ
1-4552 ㄆㄧˊ
1-4552 ㄅㄧˇ
1-4552 ㄅㄧˋ
1-4553 ㄇㄠˊ
1-4554 ㄓ
1-4554 ㄕˋ
1-4555 ㄕㄨㄟˇ
1-4556 ㄏㄨㄛˇ
1-4557 ㄓㄠˇ
1-4557 ㄓㄨㄚˇ
1-4558 ㄈㄨˇ
1-4558 ㄈㄨˋ
1-4559 ㄧㄠˊ
1-4559 ㄒㄧㄠˊ
1-455A ㄆㄧㄢ
1-455A ㄆㄧㄢˋ
1-455B ㄧㄚˊ
1-455C ㄋㄧㄡˊ
1-455D ㄑㄩㄢˇ
1-455E ㄩˋ
1-455E ㄨㄤˋ
1-455E ㄨㄤˊ
1-455F ㄅㄧㄥˇ
1-4560 ㄕˋ
1-4561 ㄆㄧ
1-4562 ㄐㄩ
1-4562 ㄑㄧㄝˇ
1-4563 ㄑㄧㄡ
1-4564 ㄓㄨˇ
1-4565 ㄓㄚˋ
1-4566 ㄈㄚˊ
1-4567 ㄏㄨ
1-4567 ㄏㄨˊ
1-4568 ㄧˇ
1-4569 ㄈㄨˋ
1-456A ㄗ
1-456A ㄗˇ
1-456A ㄗㄞˇ
1-456B ㄕˋ
1-456C ㄊㄚ
1-456C ㄊㄨㄛ
1-456D ㄓㄤˋ
1-456E ㄉㄞˋ
1-456F ㄌㄧㄥˋ
1-4570 ㄒㄧㄢ
1-4571 ㄖㄣˋ
1-4572 ㄔㄨㄥ
1-4573 ㄒㄩㄥ
1-4574 ㄖㄢˇ
1-4575 ㄔㄞˇ
1-4575 ㄘㄜˋ
1-4576 ㄉㄨㄥ
1-4577 ㄠ
1-4577 ㄧㄠ
1-4577 ㄨㄚ
1-4577 ㄨㄚˋ
1-4578 ㄔㄨ
1-4579 ㄊㄨ
1-4579 ㄍㄨˇ
1-4579 ㄊㄨˊ
1-4579 ㄉㄧㄝˊ
1-457A ㄎㄢ
1-457B ㄐㄧㄚ
1-457C ㄍㄨㄥ
1-457D ㄅㄠ
1-457E ㄘㄨㄥ
1-4621 ㄅㄟˇ
1-4621 ㄅㄛˋ
1-4621 ㄅㄟˋ
1-4622 ㄗㄚ
1-4623 ㄑㄧㄢ
1-4624 ㄅㄢˋ
1-4625 ㄏㄨㄟˋ
1-4626 ㄎㄚˇ
1-4626 ㄑㄧㄚˇ
1-4627 ㄓㄢ
1-4627 ㄓㄢˋ
1-4628 ㄇㄠˇ
1-4629 ㄓ
1-462A ㄑㄩˋ
1-462B ㄎㄜˋ
1-462B ㄎㄜˇ
1-462C ㄍㄨˇ
1-462D ㄧㄡˋ
1-462E ㄓㄠˋ
1-462E ㄕㄠˋ
1-462F ㄉㄧㄥ
1-4630 ㄎㄡˋ
1-4631 ㄊㄠ
1-4631 ㄉㄠ
1-4632 ㄉㄧㄠ
1-4633 ㄙ
1-4634 ㄆㄛˇ
1-4635 ㄐㄧㄠˋ
1-4636 ㄌㄧㄥˋ
1-4637 ㄓ
1-4637 ㄓˇ
1-4638 ㄕˇ
1-4639 ㄔˋ
1-463A ㄧˊ
1-463A ㄊㄞ
1-463A ㄊㄞˊ
1-463B ㄍㄡ
1-463B ㄐㄩˋ
1-463B ㄍㄡˋ
1-463C ㄅㄚ
1-463D ㄌㄜˋ
1-463D ㄌㄧˋ
1-463E ㄙˋ
1-463F ㄑㄧㄡˊ
1-4640 ㄨㄞˋ
1-4641 ㄧㄤ
1-4642 ㄕ
1-4643 ㄋㄨˊ
1-4644 ㄋㄞˇ
1-4645 ㄩㄣˋ
1-4646 ㄊㄚ
1-4646 ㄊㄨㄛ
1-4646 ㄊㄨㄛˊ
1-4647 ㄋㄧˊ
1-4648 ㄐㄩˋ
1-4649 ㄑㄧㄠˇ
1-464A ㄗㄨㄛˇ
1-464B ㄕˋ
1-464C ㄅㄨˋ
1-464D ㄆㄧㄥˊ
1-464D ㄆㄧㄢˊ
1-464E ㄧㄡˋ
1-464F ㄆㄢˊ
1-464F ㄅㄧㄢˋ
1-4650 ㄏㄨㄥˊ
1-4651 ㄈㄨˊ
1-4652 ㄅㄧˋ
1-4653 ㄨˋ
1-4654 ㄉㄚˇ
1-4654 ㄉㄚˊ
1-4655 ㄖㄥ
1-4655 ㄖㄥˋ
1-4655 ㄖㄥˇ
1-4655 ㄖㄥˊ
1-4656 ㄅㄚ
1-4656 ㄆㄚˊ
1-4656 ㄅㄧㄝˊ
1-4657 ㄆㄨ
1-4658 ㄔˋ
1-4659 ㄉㄢˋ
1-465A ㄓㄨˊ
1-465B ㄅㄣˇ
1-465C ㄨㄟˋ
1-465D ㄇㄛˋ
1-465E ㄓㄚˊ
1-465F ㄓㄥ
1-465F ㄓㄥˋ
1-4660 ㄇㄨˇ
1-4661 ㄇㄧㄣˊ
1-4662 ㄉㄧ
1-4662 ㄉㄧˇ
1-4663 ㄩㄥˇ
1-4664 ㄓ
1-4665 ㄊㄧㄥ
1-4666 ㄈㄢˊ
1-4666 ㄈㄢˋ
1-4667 ㄈㄢˋ
1-4668 ㄒㄩㄢˊ
1-4669 ㄩˋ
1-466A ㄍㄨㄚ
1-466B ㄨㄚˋ
1-466B ㄨㄚˇ
1-466C ㄍㄢ
1-466D ㄕㄥ
1-466E ㄩㄥˋ
1-466F ㄕㄨㄞˇ
1-4670 ㄊㄧㄢˊ
1-4671 ㄧㄡˊ
1-4672 ㄐㄧㄚˇ
1-4672 ㄐㄧㄚˋ
1-4673 ㄕㄣ
1-4674 ㄕㄨ
1-4674 ㄧㄚ
1-4674 ㄆㄧ
1-4674 ㄓㄥ
1-4674 ㄓㄥˋ
1-4674 ㄆㄧˇ
1-4674 ㄧㄚˇ
1-4675 ㄅㄞˊ
1-4675 ㄅㄛˊ
1-4676 ㄆㄧˊ
1-4677 ㄇㄧㄣˇ
1-4677 ㄇㄧㄥˇ
1-4678 ㄇㄨˋ
1-4679 ㄇㄠˊ
1-467A ㄕˇ
1-467B ㄕˊ
1-467B ㄉㄢˋ
1-467C ㄕˋ
1-467C ㄑㄧˊ
1-467D ㄏㄜˊ
1-467E ㄒㄩㄝˋ
1-467E ㄒㄩㄝˊ
1-4721 ㄌㄧˋ
1-4722 ㄔㄥˊ
1-4723 ㄉㄧㄡ
1-4724 ㄆㄧㄥ
1-4725 ㄆㄤ
1-4726 ㄐㄧ
1-4727 ㄍㄣˋ
1-4727 ㄍㄥˋ
1-4728 ㄐㄧㄠ
1-4729 ㄧˋ
1-472A ㄏㄞˋ
1-472B ㄈㄤˇ
1-472C ㄎㄤˋ
1-472D ㄏㄨㄛˇ
1-472E ㄧ
1-472F ㄈㄨ
1-4730 ㄨˇ
1-4731 ㄈㄚ
1-4731 ㄈㄚˊ
1-4732 ㄒㄩˇ
1-4732 ㄒㄧㄡ
1-4732 ㄒㄧㄡˇ
1-4733 ㄈㄨˊ
1-4734 ㄓㄨㄥˋ
1-4735 ㄐㄧㄢˋ
1-4736 ㄖㄣˋ
1-4736 ㄖㄣˊ
1-4737 ㄧㄤˇ
1-4738 ㄆㄧˇ
1-4739 ㄈㄣˋ
1-4739 ㄅㄧㄣ
1-473A ㄑㄧˋ
1-473B ㄐㄧˊ
1-473C ㄍㄨㄤ
1-473D ㄒㄩㄥ
1-473E ㄓㄠˋ
1-473F ㄒㄧㄢ
1-473F ㄒㄧㄢˋ
1-4740 ㄑㄩㄢˊ
1-4741 ㄍㄨㄥ
1-4741 ㄍㄨㄥˋ
1-4741 ㄍㄨㄥˇ
1-4742 ㄗㄞˋ
1-4743 ㄅㄧㄥ
1-4744 ㄓㄨ
1-4744 ㄗㄚˊ
1-4744 ㄌㄧㄝˋ
1-4745 ㄒㄧㄥˊ
1-4746 ㄏㄨㄚˊ
1-4747 ㄨㄣˇ
1-4748 ㄩㄝˋ
1-4749 ㄌㄧㄝˋ
1-474A ㄒㄩㄥ
1-474B ㄎㄨㄤ
1-474C ㄐㄧㄤˋ
1-474D ㄧㄣˋ
1-474E ㄨㄟˊ
1-474F ㄐㄧˊ
1-4750 ㄌㄧˋ
1-4751 ㄊㄨㄥˊ
1-4751 ㄊㄨㄥˋ
1-4752 ㄉㄧㄠˋ
1-4753 ㄊㄨˋ
1-4753 ㄊㄨˇ
1-4754 ㄒㄩ
1-4755 ㄘㄨㄣˋ
1-4756 ㄍㄜˋ
1-4757 ㄒㄧㄤˋ
1-4758 ㄇㄧㄥˊ
1-4759 ㄏㄜˊ
1-4759 ㄍㄜˇ
1-475A ㄔ
1-475A ㄐㄧˊ
1-475B ㄏㄡˋ
1-475C ㄧㄠ
1-475D ㄓㄚˋ
1-475E ㄧㄣ
1-475F ㄏㄨㄟˊ
1-4760 ㄋㄢ
1-4760 ㄩㄝˋ
1-4760 ㄐㄧㄢˇ
1-4761 ㄔㄡˊ
1-4761 ㄓㄣˋ
1-4761 ㄗㄨㄣˋ
1-4762 ㄉㄧˋ
1-4762 ˙ㄉㄜ
1-4763 ㄗㄞˋ
1-4764 ㄍㄨㄟ
1-4765 ㄨ
1-4766 ㄧˊ
1-4767 ㄩˊ
1-4767 ㄨㄟˊ
1-4768 ㄙㄨˋ
1-4769 ㄉㄨㄛ
1-4769 ㄉㄨㄛˊ
1-476A ㄧˊ
1-476B ㄎㄨㄚ
1-476C ㄨㄤˋ
1-476D ㄐㄧㄢ
1-476E ㄈㄟ
1-476E ㄆㄟˋ
1-476F ㄏㄠˋ
1-476F ㄏㄠˇ
1-4770 ㄊㄚ
1-4771 ㄖㄨˊ
1-4772 ㄕㄨㄛˋ
1-4773 ㄗˋ
1-4774 ㄘㄨㄣˊ
1-4775 ㄩˇ
1-4776 ㄕㄡˇ
1-4776 ㄕㄡˋ
1-4777 ㄓㄞˊ
1-4777 ㄓㄜˋ
1-4778 ㄢ
1-4779 ㄙˋ
1-477A ㄐㄧㄢ
1-477B ㄧˋ
1-477C ㄓㄡ
1-477D ㄈㄢ
1-477D ㄈㄢˊ
1-477E ㄅㄧㄥ
1-477E ㄅㄧㄥˋ
1-4821 ㄋㄧㄢˊ
1-4822 ㄕˋ
1-4823 ㄕˇ
1-4823 ㄔˊ
1-4824 ㄇㄤˊ
1-4825 ㄘㄨㄣˇ
1-4826 ㄖㄨㄥˊ
1-4827 ㄒㄩ
1-4828 ㄕㄨˋ
1-4829 ㄔㄥˊ
1-482A ㄎㄡˋ
1-482B ㄍㄤ
1-482B ㄎㄤˊ
1-482C ㄊㄨㄛ
1-482D ㄕㄡ
1-482E ㄗㄠˇ
1-482F ㄓˇ
1-4830 ㄒㄩㄣˊ
1-4831 ㄒㄩˋ
1-4832 ㄑㄩ
1-4832 ㄑㄩˇ
1-4833 ㄧˋ
1-4833 ㄧㄝˋ
1-4834 ㄧㄡˇ
1-4834 ㄧㄡˋ
1-4835 ㄒㄧㄡˇ
1-4836 ㄆㄛˋ
1-4836 ㄆㄨˊ
1-4837 ㄓㄨ
1-4837 ㄕㄨˊ
1-4838 ㄉㄨㄛˇ
1-4839 ㄗ
1-4839 ㄘˋ
1-483A ㄘˇ
1-483B ㄙˇ
1-483C ㄋㄞˇ
1-483D ㄖㄨˇ
1-483E ㄏㄢˊ
1-483E ㄏㄢˋ
1-483F ㄩ
1-483F ㄨ
1-483F ㄩˊ
1-483F ㄨˋ
1-483F ㄨㄚ
1-4840 ㄐㄧㄤ
1-4841 ㄔˊ
1-4842 ㄒㄧˋ
1-4843 ㄕㄢˋ
1-4844 ㄨ
1-4845 ㄒㄩㄣˋ
1-4846 ㄨㄢˊ
1-4847 ㄈㄢˋ
1-4848 ㄏㄨㄟ
1-4849 ㄇㄡˊ
1-484A ㄆㄧㄣˋ
1-484B ㄅㄛˊ
1-484B ㄅㄞˇ
1-484C ㄓㄨˊ
1-484D ㄇㄧˇ
1-484E ㄙ
1-484E ㄇㄧˋ
1-484F ㄈㄡˇ
1-4850 ㄧㄤˊ
1-4850 ㄒㄧㄤˊ
1-4851 ㄩˇ
1-4852 ㄌㄠˇ
1-4853 ㄎㄠˇ
1-4854 ㄦˊ
1-4855 ㄌㄟˇ
1-4856 ㄦˇ
1-4857 ㄩˋ
1-4858 ㄖㄨˋ
1-4858 ㄖㄡˋ
1-4859 ㄌㄜˋ
1-4859 ㄌㄟˋ
1-485A ㄐㄧ
1-485B ㄔㄣˊ
1-485C ㄗˋ
1-485D ㄓˋ
1-485E ㄐㄧㄡˋ
1-485F ㄕㄜˊ
1-4860 ㄔㄨㄢˇ
1-4861 ㄓㄡ
1-4862 ㄍㄣˇ
1-4862 ㄍㄣˋ
1-4863 ㄕㄜˋ
1-4863 ㄙㄜˋ
1-4863 ㄕㄞˇ
1-4864 ㄞˋ
1-4864 ㄧˋ
1-4865 ㄏㄨㄟˇ
1-4865 ㄔㄨㄥˊ
1-4866 ㄒㄩㄝˋ
1-4866 ㄒㄧㄝˇ
1-4867 ㄏㄤˊ
1-4867 ㄏㄤˋ
1-4867 ㄒㄧㄥˊ
1-4867 ㄒㄧㄥˋ
1-4868 ㄧ
1-4868 ㄧˋ
1-4869 ㄒㄧ
1-486A ㄑㄧㄢ
1-486B ㄔㄨㄢˋ
1-486B ㄍㄨㄢˋ
1-486C ㄆㄥ
1-486C ㄏㄥ
1-486C ㄏㄥˊ
1-486D ㄨㄟˋ
1-486E ㄓㄨˋ
1-486F ㄓㄨˋ
1-4870 ㄊㄚ
1-4870 ㄊㄨㄛ
1-4870 ㄊㄨㄛˊ
1-4871 ㄋㄧㄥˋ
1-4872 ㄅㄢˋ
1-4873 ㄈㄛˊ
1-4873 ㄅㄧˋ
1-4873 ㄈㄨˊ
1-4874 ㄏㄜˊ
1-4875 ㄍㄨ
1-4875 ㄍㄨˋ
1-4875 ㄍㄨˇ
1-4876 ㄗㄨㄛˇ
1-4877 ㄧㄡˋ
1-4878 ㄐㄧㄚ
1-4878 ㄑㄧㄝˊ
1-4879 ㄘˋ
1-4879 ㄙˋ
1-487A ㄕㄣ
1-487B ㄊㄧㄢˊ
1-487B ㄉㄧㄢˋ
1-487C ㄓㄢ
1-487C ㄓㄢˋ
1-487D ㄙˋ
1-487E ㄉㄢˋ
1-4921 ㄩㄥˋ
1-4922 ㄗㄨㄛ
1-4922 ㄗㄨㄛˊ
1-4922 ㄗㄨㄛˋ
1-4923 ㄋㄧˇ
1-4924 ㄅㄛˊ
1-4924 ㄅㄞˇ
1-4924 ㄅㄚˋ
1-4925 ㄉㄧ
1-4926 ㄌㄧㄥˊ
1-4927 ㄩˊ
1-4927 ㄒㄩˊ
1-4928 ㄎㄡˋ
1-4929 ㄅㄨˋ
1-492A ㄧˋ
1-492A ㄉㄧㄝˊ
1-492B ㄉㄨㄟˋ
1-492C ㄎㄜˋ
1-492D ㄨㄣˋ
1-492D ㄇㄧㄢˇ
1-492E ㄅㄧㄥ
1-492F ㄧㄝˇ
1-4930 ㄌㄥˇ
1-4931 ㄅㄧㄝˊ
1-4932 ㄆㄢˋ
1-4933 ㄌㄧˋ
1-4934 ㄕㄢ
1-4935 ㄆㄠˊ
1-4935 ㄅㄠˋ
1-4936 ㄐㄧㄝˊ
1-4937 ㄓㄨˋ
1-4938 ㄋㄨˇ
1-4939 ㄑㄩˊ
1-493A ㄒㄧㄚˊ
1-493B ㄐㄧˊ
1-493C ㄌㄨㄢˇ
1-493D ㄌㄧㄣˋ
1-493E ㄎㄥ
1-493E ㄏㄤˊ
1-493F ㄊㄨㄣ
1-4940 ㄩˊ
1-4940 ㄨˊ
1-4941 ㄈㄡˇ
1-4941 ㄆㄧˇ
1-4942 ㄔˇ
1-4943 ㄅㄚ
1-4943 ˙ㄅㄚ
1-4944 ㄞˊ
1-4944 ㄉㄞ
1-4945 ㄜˋ
1-4946 ㄨˊ
1-4947 ㄔㄥˊ
1-4948 ㄌㄩˇ
1-4949 ㄐㄩㄣ
1-494A ㄈㄣ
1-494B ㄍㄨˋ
1-494B ㄍㄠˋ
1-494C ㄔㄨㄟ
1-494C ㄔㄨㄟˋ
1-494D ㄨㄣˇ
1-494E ㄒㄧ
1-494F ㄕㄨㄣˇ
1-4950 ㄔㄠˇ
1-4951 ㄋㄚˋ
1-4952 ㄈㄟˋ
1-4953 ㄏㄡˇ
1-4954 ㄧㄚ
1-4954 ㄒㄧㄚ
1-4955 ㄓ
1-4955 ㄗ
1-4955 ㄑㄧˋ
1-4956 ㄏㄢˊ
1-4956 ㄏㄢˋ
1-4957 ㄧㄣˊ
1-4958 ㄧˊ
1-4958 ㄧㄣˇ
1-4958 ㄊㄧㄥ
1-4958 ㄊㄧㄥˋ
1-4959 ㄘㄨㄥ
1-4959 ㄔㄨㄤ
1-495A ㄎㄨㄣˋ
1-495B ㄉㄨㄣˋ
1-495B ㄊㄨㄣˊ
1-495C ㄏㄨˊ
1-495D ㄈㄤ
1-495D ㄈㄤˊ
1-495E ㄎㄥ
1-495F ㄓˇ
1-4960 ㄊㄢ
1-4961 ㄩㄣˋ
1-4961 ㄐㄩㄣ
1-4962 ㄎㄢˇ
1-4963 ㄐㄧˊ
1-4963 ㄙㄜˋ
1-4964 ㄗㄨㄛˋ
1-4965 ㄆㄟ
1-4965 ㄆㄧ
1-4965 ㄆㄟˊ
1-4965 ㄍㄨㄞˋ
1-4965 ㄏㄨㄞˋ
1-4966 ㄧㄣˊ
1-4966 ㄑㄧˊ
1-4967 ㄓㄨㄤˋ
1-4968 ㄐㄧㄚ
1-4968 ㄐㄧㄚˋ
1-4968 ㄐㄧㄚˊ
1-4969 ㄓㄨㄤ
1-496A ㄉㄨˋ
1-496B ㄈㄤ
1-496B ㄈㄤˊ
1-496C ㄋㄧㄡ
1-496D ㄅㄧˇ
1-496E ㄇㄧㄠˋ
1-496F ㄧㄠ
1-4970 ㄧㄢˊ
1-4971 ㄩˊ
1-4972 ㄐㄧˋ
1-4973 ㄖㄣˋ
1-4973 ㄖㄣˊ
1-4974 ㄊㄨㄛˇ
1-4975 ㄒㄧㄠˋ
1-4976 ㄗ
1-4977 ㄈㄨ
1-4977 ㄈㄨˊ
1-4978 ㄅㄟˋ
1-4978 ㄅㄛˊ
1-4979 ㄨㄢˊ
1-497A ㄙㄨㄥˋ
1-497B ㄏㄨㄥˊ
1-497C ㄍㄚˋ
1-497C ㄐㄧㄝˋ
1-497D ㄐㄩˊ
1-497E ㄆㄧˋ
1-4A21 ㄋㄧㄠˋ
1-4A22 ㄧˇ
1-4A22 ㄨㄟˇ
1-4A23 ㄑㄧˊ
1-4A24 ㄘㄣˊ
1-4A25 ㄔㄚˋ
1-4A25 ㄔㄚˊ
1-4A26 ㄐㄧˊ
1-4A27 ㄨ
1-4A27 ㄨˊ
1-4A28 ㄒㄧ
1-4A29 ㄒㄩˋ
1-4A2A ㄅㄧˋ
1-4A2B ㄔㄨㄤˊ
1-4A2C ㄊㄧㄥˊ
1-4A2D ㄋㄨㄥˋ
1-4A2D ㄌㄨㄥˋ
1-4A2E ㄉㄧˋ
1-4A2E ㄊㄧˋ
1-4A2F ㄊㄨㄥˊ
1-4A30 ㄒㄧㄥˊ
1-4A31 ㄆㄤˊ
1-4A31 ㄈㄤˇ
1-4A32 ㄧˋ
1-4A33 ㄨㄤˋ
1-4A33 ㄨㄤˊ
1-4A34 ㄐㄧˋ
1-4A35 ㄓˋ
1-4A36 ㄖㄣˇ
1-4A37 ㄔㄣˊ
1-4A38 ㄎㄨㄞˋ
1-4A39 ㄋㄧㄡˇ
1-4A3A ㄓㄨㄥ
1-4A3A ㄙㄨㄥ
1-4A3B ㄐㄧㄝˋ
1-4A3C ㄜˇ
1-4A3C ㄨㄛˇ
1-4A3D ㄔㄠ
1-4A3E ㄎㄤˋ
1-4A3F ㄉㄡˇ
1-4A40 ㄐㄧˋ
1-4A41 ㄈㄨˊ
1-4A42 ㄐㄩㄝˊ
1-4A43 ㄋㄧㄡˇ
1-4A44 ㄅㄚˇ
1-4A44 ㄅㄚˋ
1-4A44 ㄅㄞˇ
1-4A45 ㄜˋ
1-4A46 ㄓㄠˇ
1-4A47 ㄆㄧ
1-4A48 ㄅㄢ
1-4A48 ㄆㄢ
1-4A49 ㄕㄨ
1-4A4A ㄔㄜˇ
1-4A4B ㄓㄜ
1-4A4B ㄓㄜˊ
1-4A4B ㄕㄜˊ
1-4A4C ㄈㄣˇ
1-4A4C ㄅㄢˋ
1-4A4D ㄊㄡˊ
1-4A4E ㄓㄠ
1-4A4E ㄓㄨㄚ
1-4A4E ㄔㄨㄚˇ
1-4A4F ㄧˋ
1-4A50 ㄨㄣˋ
1-4A51 ㄍㄞˇ
1-4A52 ㄍㄨㄥ
1-4A53 ㄧㄡ
1-4A54 ㄏㄢˋ
1-4A55 ㄍㄥ
1-4A55 ㄍㄥˋ
1-4A55 ㄐㄧㄥ
1-4A56 ㄕㄨˋ
1-4A57 ㄌㄧˇ
1-4A58 ㄒㄧㄥˋ
1-4A59 ㄘㄞˊ
1-4A5A ㄘㄨㄣ
1-4A5B ㄉㄨˋ
1-4A5C ㄓㄤˋ
1-4A5D ㄑㄧˇ
1-4A5E ㄕㄢ
1-4A5E ㄕㄚ
1-4A5F ㄍㄢ
1-4A60 ㄍㄤ
1-4A60 ㄍㄤˋ
1-4A61 ㄕㄠˊ
1-4A61 ㄅㄧㄠ
1-4A62 ㄇㄤˊ
1-4A63 ㄅㄨˋ
1-4A64 ㄇㄟˇ
1-4A65 ㄑㄧㄡˊ
1-4A66 ㄍㄨㄥˇ
1-4A67 ㄕㄚ
1-4A68 ㄑㄧㄣˋ
1-4A69 ㄔㄣˊ
1-4A69 ㄕㄣˇ
1-4A6A ㄔㄣˊ
1-4A6B ㄩㄢˊ
1-4A6C ㄆㄟˋ
1-4A6D ㄨㄤ
1-4A6E ㄐㄩㄝˊ
1-4A6F ㄇㄨˋ
